电影名,年份,上映时间,类型,时长,评分,语言,导演,作者,宣传语,简介
安昂传奇：最后的气宗,2026,,"动画, 动作, 冒险, 奇幻",99分钟,93,,Tim Hedrick,劳伦·蒙哥马利,The legacy reawakens.,
不期而遇的姐妹,2026,,"喜剧, 爱情",85分钟,89,,Ihtzi Hurtado,Mariana Palos,,
奇幻变身大冒险,2026,,"冒险, 动画, 家庭, 奇幻",102分钟,89,,内森·格雷诺,约翰·惠廷顿,Transform your destiny.,
肖申克的救赎,1994,,"剧情, 犯罪",142分钟,87,,弗兰克·德拉邦特,斯蒂芬·金,恐惧会将你囚禁，希望则能让你获得自由。,
迈克尔·杰克逊：巨星之路,2026,,"音乐, 剧情",136分钟,87,,安东尼·福奎阿,约翰·洛根,Discover the making of a king.,
教父,1972,,"剧情, 犯罪",175分钟,87,,弗朗西斯·科波拉,马里奥·普佐,一份你无法拒绝的邀约。,
鬼灭之刃：无限城篇 第一章 猗窝座再袭,2025,,"动画, 动作, 奇幻",155分钟,87,,外崎春雄,吾峠呼世晴,It's time to have some fun.,
挽救计划,2026,,"科幻, 冒险",157分钟,87,,菲尔·洛德,克里斯托弗·米勒,信念是暗夜唯一的光,
年轻的心,2024,,"剧情, 爱情",97分钟,86,,安东尼·沙特曼,,,
辛德勒的名单,1993,,"剧情, 历史, 战争",195分钟,86,,史蒂文·斯皮尔伯格,托马斯·肯尼利,谁拯救了一条生命，谁就拯救了整个世界。,
教父2,1974,,"剧情, 犯罪",200分钟,86,,弗朗西斯·科波拉,马里奥·普佐,柯里昂帝国的兴衰史。,
十二怒汉,1957,,剧情,96分钟,86,,雷金纳德·罗斯,西德尼·吕美特,命悬其手，死视其意,
蝙蝠侠：黑暗骑士,2008,,"动作, 犯罪, 惊悚",152分钟,85,,克里斯托弗·诺兰,鲍勃·凯恩,黎明前的夜是最黑暗的！,
千与千寻,2001,,"动画, 家庭, 奇幻",125分钟,85,,宫崎骏,,隧道的另一头，是不可思议的小镇。,
电锯人剧场版：蕾塞篇,2025,,"动画, 动作, 爱情, 奇幻",100分钟,85,,吉原达矢,濑古浩司,活出你的人生本色……并让它精彩纷呈。,
勇夺芳心,1995,,"喜剧, 剧情, 爱情",190分钟,85,,Aditya Chopra,,"Come… fall In love, all over again…",
绿里奇迹,1999,,"奇幻, 剧情, 犯罪",189分钟,85,,弗兰克·德拉邦特,斯蒂芬·金,保罗·埃奇康姆从不相信奇迹。直到他遇见奇迹的那一天。,
指环王3：王者无敌,2003,,"冒险, 奇幻, 动作",263分钟,85,,彼得·杰克逊,J.R.R.托尔金,敌人的邪眼在移动！,
寄生虫,2019,,"喜剧, 惊悚, 剧情",132分钟,85,,奉俊昊,韩进元,表现得好像这个地方是你的似的。,
星际穿越,2014,,"冒险, 剧情, 科幻",169分钟,85,,克里斯托弗·诺兰,乔纳森·诺兰,人类的下一步将迈向非凡！,
你的名字。,2016,,"动画, 爱情, 剧情",106分钟,85,,新海诚,,我正在寻觅未曾相识的你。,
低俗小说,1994,,"惊悚, 犯罪, 喜剧",154分钟,85,,昆汀·塔伦蒂诺,罗杰·阿瓦里,仅仅因为你是一个角色并不意味着你有角色。,
保护者,2026,,"动作, 惊悚",92分钟,85,,阿德里安·格鲁伯格,Mun-Bong Seub,Never get between a mother and her child.,
幸运有八只触手,2026,,"剧情, 悬疑",111分钟,85,,奥利维亚·纽曼,约翰·惠廷顿,Brighter together.,
黄金三镖客,1966,,西部,161分钟,85,,赛尔乔·莱昂内,卢西亚诺·文森佐尼,对这三人来说内战不是地狱，是天堂。,
阿甘正传,1994,,"喜剧, 剧情, 爱情",142分钟,85,,罗伯特·泽米吉斯,温斯顿·格鲁姆,人生就像一盒巧克力，你永远不知道下一块会是什么味道,
Selena Gomez: My Mind & Me,2022,,"纪录, 音乐",95分钟,85,,阿莱克·凯西西恩,Paul Marchand,"Every breath, a breakthrough.",
要不要做我儿子？,2023,,"喜剧, 爱情",140分钟,85,,Ihtzi Hurtado,,,
七武士,1954,,"动作, 剧情",207分钟,85,,黑泽明,桥本忍,在悬念和场面方面无与伦比！,
好家伙,1990,,"剧情, 犯罪",145分钟,85,,马丁·斯科塞斯,尼古拉斯·皮莱吉,在黑手党中度过的三十年人生。,
切腹,1962,,"动作, 剧情, 历史",135分钟,84,,小林正树,安彦滉,男人的尊严，男人的挣扎。,
每个人的每件事,2019,,纪录,116分钟,84,,Ramez Silyan,Sebastian Jones,,
萤火虫之墓,1988,,"动画, 剧情, 战争",89分钟,84,,高畑勋,,为何萤火虫的生命如此短暂？,
指环王1：护戒使者,2001,,"冒险, 奇幻, 动作",228分钟,84,,彼得·杰克逊,J.R.R.托尔金,至尊戒，驭众戒！,
美丽人生,1997,,"喜剧, 剧情",116分钟,84,,罗伯托·贝尼尼,文森佐·塞拉米,最美丽的谎言。,
搏击俱乐部,1999,,"剧情, 惊悚",139分钟,84,,大卫·芬奇,恰克·帕拉尼克,搏击俱乐部的第一条规则是你不要谈论搏击俱乐部,
人类,2015,,纪录,191分钟,84,,亚恩·阿蒂斯－贝特朗,,,
天堂电影院,1988,,"剧情, 爱情",124分钟,84,,朱塞佩·托纳多雷,瓦娜·波利,青春、友谊与电影永恒魅力的颂扬。,
上帝之城,2002,,"剧情, 犯罪",129分钟,84,,费尔南多·梅里尔斯,保罗·林斯,你若逃跑，野兽会抓住你；你若停留，野兽会吞噬你。,
大卫·爱登堡：地球上的一段生命旅程,2020,,"纪录, 剧情",83分钟,84,,艾雷斯泰·法瑟吉尔,Jonathan Hughes,,
指环王2：双塔奇兵,2002,,"冒险, 奇幻, 动作",235分钟,84,,彼得·杰克逊,J.R.R.托尔金,一股新力量正在崛起！,
妙不可言,2021,,"家庭, 剧情",88分钟,84,,Ernesto Contreras,Estéfani Enríquez Soto,There are encounters that change your life,
蛊惑兄弟,2000,,"喜剧, 剧情, 奇幻, 爱情",104分钟,84,,Guel Arraes,Ariano Suassuna,Lying with faith is not always a sin.,
惊魂记,1960,,"恐怖, 惊悚, 悬疑",109分钟,84,,阿尔弗雷德·希区柯克,罗伯特·布洛克,一种全新的、截然不同的银幕刺激！,
飞越疯人院,1975,,剧情,135分钟,84,,米洛斯·福尔曼,肯·克西,如果他疯了，那你怎么了？,
素媛,2013,,剧情,122分钟,84,,李濬益,曹重勋,在最痛的地方，开出最美的花,
蜘蛛侠：平行宇宙,2018,,"动画, 动作, 冒险, 科幻",116分钟,84,,罗德尼·罗斯曼,菲尔·洛德,任何人都可以成为英雄。,
声之形,2016,,"动画, 剧情, 爱情",130分钟,84,,山田尚子,吉田玲子,有时答案就是学会倾听，如此简单。,
星球大战5：帝国反击战,1980,,"冒险, 动作, 科幻",124分钟,84,,厄文·克什纳,利·布拉克特,冒险在继续……,
哈尔的移动城堡,2004,,"奇幻, 动画, 冒险",119分钟,84,,宫崎骏,戴安娜·温尼·琼斯,带着心爱的人在天空飞翔。,
加百列的地狱,2020,,"爱情, 剧情",122分钟,84,,托斯卡·马斯克,Sylvain Reynard,,
七宗罪,1995,,"犯罪, 悬疑, 惊悚",127分钟,84,,大卫·芬奇,安德鲁·凯文·沃克,每一桩命案，都对应一种原罪。,
罗小黑战记,2019,,"动画, 奇幻, 动作",102分钟,84,,MTJJ,彭可欣,有你的地方 就是家,
爆裂鼓手,2014,,"剧情, 音乐, 惊悚",107分钟,84,,达米恩·查泽雷,,通往伟大的道路可能会将你带到边缘。,
美国往事,1984,,"剧情, 犯罪",139分钟,84,,赛尔乔·莱昂内,哈里·格雷,犯罪、激情与权力欲望。,
盗梦空间,2010,,"动作, 科幻, 冒险",148分钟,84,,克里斯托弗·诺兰,,你的梦境 就是 犯罪现场,
露西·希姆斯和和平王子,2020,,"剧情, 家庭",87分钟,84,,Rob Diamond,,,
天国与地狱,1963,,"剧情, 犯罪, 惊悚, 悬疑",142分钟,84,,黑泽明,埃文·亨特,剧情紧张激烈，几乎令人难以置信！,
钢琴家,2002,,"剧情, 战争",150分钟,84,,罗曼·波兰斯基,罗纳德·哈伍德,音乐是他的激情所在。生存则是他的杰作。,
真爱留声,2026,,"爱情, 喜剧, 剧情",119分钟,84,,Leah McKendrick,,Sometimes the universe leaves you a message.,
鱿鱼游戏： 第二季 制作特辑,2025,,纪录,28分钟,84,,,,,
加百列的地狱：第二部,2020,,"爱情, 剧情",106分钟,83,,托斯卡·马斯克,Sylvain Reynard,,
沉默的羔羊,1991,,"犯罪, 惊悚, 剧情",119分钟,83,,乔纳森·戴米,托马斯·哈里斯,要进入杀手的头脑，她必须挑战疯子的头脑。,
蜘蛛侠：纵横宇宙,2023,,"动画, 动作, 冒险, 科幻",140分钟,83,,贾斯汀·K·汤普森,乔伊姆·多斯·桑托斯,每个人都说这是蜘蛛侠注定的命运，但我要找到属于自己的路。,
加百列的地狱：第三部,2020,,"爱情, 剧情",122分钟,83,,托斯卡·马斯克,Sylvain Reynard,,
后窗,1954,,"惊悚, 悬疑, 剧情",113分钟,83,,阿尔弗雷德·希区柯克,约翰·迈克尔·海耶斯,只需一个目击者，就能破坏这桩完美的犯罪。,
激进教学,2023,,剧情,122分钟,83,,Christopher Zalla,,Think for yourself.,
防弹少年团：燃烧舞台电影版,2018,,"音乐, 纪录",85分钟,83,,Park Jun-soo,,"From the deserts to the seas, we were always together.",
回到未来,1985,,"冒险, 喜剧, 科幻",116分钟,83,,罗伯特·泽米吉斯,鲍勃·盖尔,他是唯一一个到出生前惹麻烦的孩子。,
美国X档案,1998,,剧情,119分钟,83,,托尼·凯耶,大卫·麦肯纳,Some legacies must end.,
别假正经,1984,,"纪录, 音乐",88分钟,83,,乔纳森·戴米,,Why stop making sense? Why a movie? Why a big suit? Where do the odd movements come from? What will the band do next?,
幽灵公主,1997,,"冒险, 奇幻, 动画",134分钟,83,,宫崎骏,,世界的命运系于一位勇士的勇气之上。,
音魂掠影,2022,,"纪录, 音乐, 历史",156分钟,83,,朱塞佩·托纳多雷,,,
同级生,2016,,"爱情, 动画",61分钟,83,,中村章子,中村明日美子,"Sincerely, Slowly, Falling in Love.",
荒野机器人,2024,,"家庭, 动画, 科幻, 冒险",102分钟,83,,克里斯·桑德斯,,发现你的本性,
生之欲,1952,,剧情,143分钟,83,,黑泽明,桥本忍,一个关于小人物的大故事，它将紧紧抓住你的灵魂……,
未麻的部屋,1998,,"动画, 惊悚",81分钟,83,,今敏,竹内义和,不好意思……请问你是？,
紫罗兰永恒花园 剧场版,2020,,"动画, 剧情, 奇幻, 爱情",140分钟,83,,石立太一,晓佳奈,致我最心爱的人，这是我最后的书信。,
死亡诗社,1989,,剧情,128分钟,83,,彼得·威尔,托马斯·舒尔曼,他是他们的灵感源泉。他让他们的生命变得非凡。,
惩罚者：最后一击,2026,,"动作, 剧情, 犯罪",51分钟,83,,雷纳尔多·马库斯·格林,杰瑞·康威,Hey Frank.,
这个杀手不太冷,1994,,"犯罪, 剧情, 动作",133分钟,83,,吕克·贝松,,想把事情办的漂亮，就得请专业的,
带来灵魂：防弹少年团演唱会电影,2019,,"音乐, 纪录",103分钟,83,,Park Jun-soo,,"Forever, we are young.",
五等分的新娘 剧场版,2022,,"动画, 喜剧, 爱情",136分钟,83,,神保昌登,大知庆一郎,,
献给我的前妻,2019,,"剧情, 喜剧",94分钟,83,,Jorge Ulloa,Diego Ulloa,,
摩登时代,1936,,"喜剧, 剧情, 爱情",87分钟,83,,查理·卓别林,,他是现代最伟大的艺人，举世无双！世上无人能像他那样，让你开怀大笑，又深深触动你的心弦……全世界都为他无价的才华而欢笑、流泪、激动不已！,
大独裁者,1940,,"喜剧, 战争",125分钟,83,,查理·卓别林,,再次——全世界都在嘲笑！,
我们如此相爱,1974,,"剧情, 喜剧",124分钟,83,,埃托雷·斯科拉,富里奥·斯卡佩利,一件光彩夺目的事物。,
从天而降,2019,,"喜剧, 剧情, 音乐",112分钟,83,,Pepe Bojórquez,Alfredo Felix-Diaz,,
生活多美好,1946,,"剧情, 家庭, 奇幻",131分钟,83,,弗兰克·卡普拉,弗朗西丝·古德里奇,这笑声多么美妙！这爱意多么动人！,
夜与雾,1956,,"纪录, 历史",32分钟,83,,阿伦·雷乃,让·凯罗尔,,
日落大道,1950,,剧情,110分钟,83,,比利·怀尔德,查尔斯·威廉·布莱克特,一个好莱坞故事。,
触不可及,2011,,"剧情, 喜剧",112分钟,83,,奥利维埃·纳卡什,埃里克·托莱达诺,Sometimes you have to reach into someone else's world to find out what's missing in your own.,
西部往事,1968,,"剧情, 西部",166分钟,83,,赛尔乔·莱昂内,塞尔吉奥·多纳蒂,她生命中有三个男人。一个带走了她，一个深爱着她，还有一个——最终杀死了她。,
乔西的虎与鱼,2020,,"动画, 剧情, 爱情",98分钟,83,,田村耕太郎,桑村沙耶香,Together they can fly.,
现代启示录,1979,,"剧情, 战争",202分钟,83,,弗朗西斯·科波拉,约瑟夫·康拉德,这就是终点...,
萤火之森,2011,,"爱情, 动画, 奇幻",44分钟,83,,大森贵弘,,我已经等不到夏天了,
新世纪福音战士剧场版：Air / 真心为你,1997,,"动画, 科幻, 剧情, 奇幻, 动作",87分钟,83,,庵野秀明,鹤卷和哉,毁灭的命运亦是重生的喜悦。,
迈克尔·杰克逊：颤栗,1983,,"恐怖, 音乐, 惊悚",14分钟,83,,约翰·兰迪斯,迈克尔·杰克逊,,
黑客帝国,1999,,"动作, 科幻",136分钟,83,,拉娜·沃卓斯基,莉莉·沃卓斯基,欢迎来到现实世界,
超级马力欧银河大电影,2026,,"家庭, 喜剧, 冒险, 奇幻, 动画",98分钟,83,,迈克尔·杰勒尼克,亚伦·霍瓦特,星系在召唤。,
